Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
SNPS,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
SNPS,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
SNPS,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
SNPS,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SNPS,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SNPS,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SNPS,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
SNPS,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
SNPS,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of the Board of Directors,1.,SURAPIT KIRTIPUTRA,N/A,4 / 5,80.00,1 / 1,1 / 1
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of the Board of Directors,2.,PANVIPA KRISDAPHONG,N/A,5 / 5,100.00,1 / 1,1 / 1
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of the Board of Directors,3.,THEERAYA KRISDAPHONG,N/A,5 / 5,100.00,1 / 1,1 / 1
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of the Board of Directors,4.,DISPANADDA DISKUL,N/A,3 / 5,60.00,1 / 1,1 / 1
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of the Board of Directors,5.,KUDUN SUKHUMANANDA,N/A,4 / 5,80.00,1 / 1,0 / 1
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of the Board of Directors,6.,KITTISAK CHANOKMAT,N/A,5 / 5,100.00,1 / 1,1 / 1
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of the Board of Directors,7.,KRISADA KITTIGOWITTANA,N/A,5 / 5,100.00,1 / 1,1 / 1
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of the Board of Directors,8.,SUTTISAK JEDSADAPAISID,N/A,5 / 5,100.00,1 / 1,1 / 1
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of Audit Committee,1.,KITTISAK CHANOKMAT,N/A,4 / 4,100.00,,
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of Audit Committee,2.,DISPANADDA DISKUL,N/A,3 / 4,75.00,,
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of Audit Committee,3.,KUDUN SUKHUMANANDA,N/A,3 / 4,75.00,,
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of Executive Committee,1.,PANVIPA KRISDAPHONG,N/A,4 / 4,100.00,,
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of Executive Committee,2.,THEERAYA KRISDAPHONG,N/A,4 / 4,100.00,,
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of Executive Committee,3.,SUTTISAK JEDSADAPAISID,N/A,4 / 4,100.00,,
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of Executive Committee,4.,KRISADA KITTIGOWITTANA,N/A,4 / 4,100.00,,
SNPS,2024,5,4,15/03/2024,Yes,Meeting Attendance of Executive Committee,5.,Achitdej Archapairoj,N/A,4 / 4,100.00,,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SURAPIT KIRTIPUTRA,N/A,4 / 4,100.00,1 / 1,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,PANVIPA KRISDAPHONG,N/A,4 / 4,100.00,1 / 1,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,THEERAYA KRISDAPHONG,N/A,4 / 4,100.00,1 / 1,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,DISPANADDA DISKUL,N/A,4 / 4,100.00,1 / 1,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,KUDUN SUKHUMANANDA,N/A,2 / 4,50.00,1 / 1,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,KITTISAK CHANOKMAT,N/A,4 / 4,100.00,1 / 1,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,KRISADA KITTIGOWITTANA,N/A,4 / 4,100.00,1 / 1,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,SUTTISAK JEDSADAPAISID,N/A,4 / 4,100.00,1 / 1,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,KITTISAK CHANOKMAT,N/A,4 / 4,100.00,,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,DISPANADDA DISKUL,N/A,4 / 4,100.00,,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,KUDUN SUKHUMANANDA,N/A,4 / 4,100.00,,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,PANVIPA KRISDAPHONG,N/A,4 / 4,100.00,,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,THEERAYA KRISDAPHONG,N/A,4 / 4,100.00,,
SNPS,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,SUTTISAK JEDSADAPAISID,N/A,4 / 4,100.00,,
