Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
STECON,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
STECON,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
STECON,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
STECON,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
STECON,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
STECON,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
STECON,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
STECON,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
STECON,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,1.,VALLOP RUNGKIJVORASATHIEN,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,2.,CHAMNI JANCHAI,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,3.,RAPEEPAN LUANGARAMRUT,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,4.,SURAPAN POOMKAEW,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,5.,MASTHAWIN CHARNVIRAKUL,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,6.,THANATHIP VIDHADYSIRINUN,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,7.,PAKPOOM SRICHAMNI,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,8.,APIVUT THONGKAM,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,9.,JAIKAEW TEJAPIJAYA,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,10.,JARUNAT JIRARATSATIT,N/A,7 / 7,100.00,1 / 1,1 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,11.,PRAVESANA MULPRAMOOK,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of the Board of Directors,12.,MONRUDEE GETTUPHEN,N/A,7 / 7,100.00,1 / 1,2 / 2
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of Audit Committee,1.,CHAMNI JANCHAI,N/A,6 / 6,100.00,,
STECON,2024,7,6,29/03/2024,Yes,Meeting Attendance of Audit Committee,2.,PRAVESANA MULPRAMOOK,N/A,6 / 6,100.00,,
