Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
88TH,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
88TH,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
88TH,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
88TH,2022,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
88TH,2022,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
88TH,2022,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
88TH,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
88TH,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
88TH,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
88TH,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
88TH,2024,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
88TH,2024,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,WANVIPUT SANPHASITVONG,N/A,9 / 9,100.00,1 / 1,2 / 2
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,THAWATCHAI JITTRAPANUN,N/A,9 / 9,100.00,1 / 1,2 / 2
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,KAMON CHAIYASIT,N/A,9 / 9,100.00,1 / 1,2 / 2
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,NUTTINEE CHAVANANIKUL,N/A,9 / 9,100.00,1 / 1,2 / 2
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,NOPPARUT MALAIWONG,N/A,8 / 9,88.89,1 / 1,2 / 2
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,CHANAPAT KAOUBOL,N/A,9 / 9,100.00,1 / 1,2 / 2
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,PEERAYUTH OYISSARANUKUL,N/A,9 / 9,100.00,1 / 1,2 / 2
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,THAWATCHAI JITTRAPANUN,N/A,6 / 6,100.00,,
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,WANVIPUT SANPHASITVONG,N/A,6 / 6,100.00,,
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,KAMON CHAIYASIT,N/A,6 / 6,100.00,,
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,NUTTINEE CHAVANANIKUL,N/A,14 / 14,100.00,,
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,NOPPARUT MALAIWONG,N/A,14 / 14,100.00,,
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,CHANAPAT KAOUBOL,N/A,14 / 14,100.00,,
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,PEERAYUTH OYISSARANUKUL,N/A,14 / 14,100.00,,
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,1.,THAWATCHAI JITTRAPANUN,N/A,2 / 2,100.00,,
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,2.,KAMON CHAIYASIT,N/A,2 / 2,100.00,,
88TH,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,3.,PEERAYUTH OYISSARANUKUL,N/A,2 / 2,100.00,,
88TH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
88TH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
88TH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
