Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
BKIH,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
BKIH,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
BKIH,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
BKIH,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BKIH,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BKIH,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BKIH,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BKIH,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BKIH,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,1.,CHAI SOPHONPANICH,N/A,4 / 5,80.00,1 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,2.,PANUS THIRAVANITKUL,N/A,5 / 5,100.00,1 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,3.,APISIT ANANTANATARAT,N/A,5 / 5,100.00,1 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,4.,NINTIRA SOPHONPANICH,N/A,5 / 5,100.00,1 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,5.,PLENGSAKDI PRAKASPESAT,N/A,5 / 5,100.00,1 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,6.,SINGH TANGTATSWAS,N/A,5 / 5,100.00,1 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,7.,SUPADIS DISKUL,N/A,5 / 5,100.00,1 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,8.,CHOR.NUN PETPAISIT,N/A,5 / 5,100.00,1 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,9.,SUVARN THANSATHIT,N/A,5 / 5,100.00,1 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,10.,POTJANEE THANAVARANIT,N/A,5 / 5,100.00,1 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of the Board of Directors,11.,SUSUMU TATEGAMI,N/A,4 / 5,80.00,0 / 1,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of Audit Committee,1.,PLENGSAKDI PRAKASPESAT,N/A,6 / 6,100.00,,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of Audit Committee,2.,CHOR.NUN PETPAISIT,N/A,6 / 6,100.00,,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of Audit Committee,3.,POTJANEE THANAVARANIT,N/A,6 / 6,100.00,,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of Corporate Governance and Sustainability Committee,1.,NINTIRA SOPHONPANICH,N/A,1 / 1,100.00,,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of Corporate Governance and Sustainability Committee,2.,PANUS THIRAVANITKUL,N/A,1 / 1,100.00,,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of Remuneration and Nomination Committee,1.,SINGH TANGTATSWAS,N/A,1 / 1,100.00,,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of Remuneration and Nomination Committee,2.,SUVARN THANSATHIT,N/A,1 / 1,100.00,,
BKIH,2024,5,6,19/04/2024,No,Meeting Attendance of Remuneration and Nomination Committee,3.,SUPADIS DISKUL,N/A,1 / 1,100.00,,
BKIH,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
BKIH,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
BKIH,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
BKIH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
BKIH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
BKIH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
