Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CPAXT,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPAXT,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
CPAXT,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
CPAXT,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPAXT,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CPAXT,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CPAXT,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
CPAXT,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
CPAXT,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CPAXT,2024,8,10,29/03/2024,No,Meeting Attendance of the Board of Directors,1.,SUPHACHAI CHEARAVANONT,N/A,8 / 8,100.00,1 / 1,
CPAXT,2024,8,10,29/03/2024,No,Meeting Attendance of the Board of Directors,2.,RALPH ROBERT TYE,N/A,8 / 8,100.00,1 / 1,
CPAXT,2024,8,10,29/03/2024,No,Meeting Attendance of the Board of Directors,3.,Rawat  Chamchalerm,N/A,8 / 8,100.00,1 / 1,
CPAXT,2024,8,10,29/03/2024,No,Meeting Attendance of the Board of Directors,4.,KANNIKA NGAMSOPEE,N/A,8 / 8,100.00,1 / 1,
CPAXT,2024,8,10,29/03/2024,No,Meeting Attendance of the Board of Directors,5.,JUKR BOON-LONG,N/A,8 / 8,100.00,1 / 1,
CPAXT,2024,8,10,29/03/2024,No,Meeting Attendance of the Board of Directors,6.,Prasobsook  Boondech,N/A,8 / 8,100.00,1 / 1,
CPAXT,2024,8,10,29/03/2024,No,Meeting Attendance of the Board of Directors,7.,Auttapol Rerkpiboon,N/A,5 / 5,100.00,0 / 0,
CPAXT,2024,8,10,29/03/2024,No,Meeting Attendance of the Board of Directors,8.,Korsak  Chairasmisak,N/A,6 / 8,75.00,1 / 1,
CPAXT,2024,8,10,29/03/2024,No,Meeting Attendance of the Board of Directors,9.,Narong Chearavanont,N/A,8 / 8,100.00,1 / 1,
CPAXT,2024,8,10,29/03/2024,No,Meeting Attendance of the Board of Directors,10.,Tanin Buranamanit,N/A,8 / 8,100.00,1 / 1,
