Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
FM,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
FM,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
FM,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
FM,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FM,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FM,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FM,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FM,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FM,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
FM,2024,10,6,14/03/2024,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
FM,2024,10,6,14/03/2024,No,Meeting Attendance of Audit Committee,,No Information,,,,,
FM,2024,10,6,14/03/2024,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,N/A,N/A,,
FM,2024,10,6,14/03/2024,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,N/A,N/A,,
FM,2024,10,6,14/03/2024,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,N/A,N/A,,
FM,2024,10,6,14/03/2024,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,N/A,N/A,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,JESADAVAT PRIEBJRIVAT,N/A,7 / 7,100.00,1 / 1,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,NUTTHAPOL DUSSADEENOAD,N/A,6 / 7,85.71,1 / 1,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,SNIT DUSADEENOAD,N/A,7 / 7,100.00,1 / 1,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,CHETTHAPHON DUTSADEENOAD,N/A,7 / 7,100.00,1 / 1,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,YUTHAPHONG MA,N/A,6 / 7,85.71,0 / 1,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,AKEPISITH SUTTIKULPANICH,N/A,6 / 7,85.71,1 / 1,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,NOPPADOL DHEERABUTRVONGKUL,N/A,7 / 7,100.00,1 / 1,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,PRACHA KOONNATHAMDEE,N/A,7 / 7,100.00,1 / 1,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,NOPPADOL DHEERABUTRVONGKUL,N/A,6 / 6,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,JESADAVAT PRIEBJRIVAT,N/A,6 / 6,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,PRACHA KOONNATHAMDEE,N/A,6 / 6,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,SNIT DUSADEENOAD,N/A,6 / 6,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,NUTTHAPOL DUSSADEENOAD,N/A,6 / 6,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,CHETTHAPHON DUTSADEENOAD,N/A,6 / 6,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,Sumate Masileerungsri,N/A,6 / 6,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,1.,NOPPADOL DHEERABUTRVONGKUL,N/A,2 / 2,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,2.,NUTTHAPOL DUSSADEENOAD,N/A,2 / 2,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,3.,SNIT DUSADEENOAD,N/A,2 / 2,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,4.,CHETTHAPHON DUTSADEENOAD,N/A,2 / 2,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,5.,Sumate Masileerungsri,N/A,2 / 2,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,1.,PRACHA KOONNATHAMDEE,N/A,2 / 2,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,2.,NOPPADOL DHEERABUTRVONGKUL,N/A,2 / 2,100.00,,
FM,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SNIT DUSADEENOAD,N/A,2 / 2,100.00,,
FM,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
FM,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
FM,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
