Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
IDG,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
IDG,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
IDG,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
IDG,2022,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
IDG,2022,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
IDG,2022,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
IDG,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
IDG,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
IDG,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
IDG,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
IDG,2024,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
IDG,2024,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,PHUSIT WONGLORSAICHON,N/A,4 / 4,100.00,1 / 1,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,WORAPAN CHUACHAROENSIRI,N/A,4 / 4,100.00,1 / 1,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,WITHAN CHUACHAROENSIRI,N/A,4 / 4,100.00,1 / 1,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,SIRICHAI CHUACHAROENSIRI,N/A,4 / 4,100.00,1 / 1,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,WORANEE CHUACHAROENSIRI,N/A,4 / 4,100.00,1 / 1,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,LAPASRADA LERTPANUROT,N/A,4 / 4,100.00,1 / 1,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,SANSAKRIT VICHITLEKARN,N/A,4 / 4,100.00,1 / 1,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,SANSAKRIT VICHITLEKARN,N/A,4 / 4,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,PHUSIT WONGLORSAICHON,N/A,4 / 4,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,LAPASRADA LERTPANUROT,N/A,4 / 4,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,WITHAN CHUACHAROENSIRI,N/A,15 / 15,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,SIRICHAI CHUACHAROENSIRI,N/A,15 / 15,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,WORAPAN CHUACHAROENSIRI,N/A,15 / 15,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,WORANEE CHUACHAROENSIRI,N/A,15 / 15,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,WANUTSAWAN NUKRONG,N/A,15 / 15,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,6.,CHIDTRAWAN CHANTAWONG,N/A,15 / 15,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,1.,LAPASRADA LERTPANUROT,N/A,1 / 1,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,2.,SANSAKRIT VICHITLEKARN,N/A,1 / 1,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Nomination and Remuneration Committee,3.,WITHAN CHUACHAROENSIRI,N/A,1 / 1,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,1.,PHUSIT WONGLORSAICHON,N/A,1 / 1,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,2.,SIRICHAI CHUACHAROENSIRI,N/A,1 / 1,100.00,,
IDG,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,3.,WITHAN CHUACHAROENSIRI,N/A,1 / 1,100.00,,
IDG,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
IDG,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
IDG,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
