Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
IROYAL,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
IROYAL,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
IROYAL,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
IROYAL,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
IROYAL,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
IROYAL,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
IROYAL,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
IROYAL,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
IROYAL,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of the Board of Directors,1.,NATNAPA PRAPATPOTIPONG,N/A,5 / 6,83.33,1 / 1,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of the Board of Directors,2.,PRAPAPAN PRAPATPOTIPONG,N/A,6 / 6,100.00,1 / 1,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of the Board of Directors,3.,PANAPAT MEKASUWANDUMRONG,N/A,6 / 6,100.00,1 / 1,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of the Board of Directors,4.,PAILIN PRAPATPOTIPONG,N/A,6 / 6,100.00,1 / 1,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of the Board of Directors,5.,KUDUN SUKHUMANANDA,N/A,6 / 6,100.00,1 / 1,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of the Board of Directors,6.,POONPAT LOHARJUN,N/A,6 / 6,100.00,1 / 1,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of the Board of Directors,7.,THANIT NAMSATIEN,N/A,6 / 6,100.00,1 / 1,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of Audit Committee,1.,THANIT NAMSATIEN,N/A,4 / 4,100.00,,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of Audit Committee,2.,KUDUN SUKHUMANANDA,N/A,4 / 4,100.00,,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of Audit Committee,3.,POONPAT LOHARJUN,N/A,4 / 4,100.00,,
IROYAL,2024,6,4,01/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
IROYAL,2025,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
IROYAL,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
IROYAL,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
IROYAL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
IROYAL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
IROYAL,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
