Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
KCC,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
KCC,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
KCC,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
KCC,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
KCC,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
KCC,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
KCC,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
KCC,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
KCC,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of the Board of Directors,1.,MANIT NITIPRATEEP,N/A,7 / 7,100.00,1 / 1,Did not hold the meeting
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of the Board of Directors,2.,SUCHAT BOONBANJERDSRI,N/A,7 / 7,100.00,1 / 1,Did not hold the meeting
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of the Board of Directors,3.,PRIN BHOLNIVAS,N/A,7 / 7,100.00,1 / 1,Did not hold the meeting
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of the Board of Directors,4.,TAWEE KULLERTPRASERT,N/A,7 / 7,100.00,1 / 1,Did not hold the meeting
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of the Board of Directors,5.,BOONYONG TANSAKUL,N/A,6 / 7,85.71,1 / 1,Did not hold the meeting
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of the Board of Directors,6.,SAUWANEE THAIRUNGROJ,N/A,6 / 7,85.71,1 / 1,Did not hold the meeting
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of the Board of Directors,7.,KANOCKIT NAVASIRI,N/A,7 / 7,100.00,1 / 1,Did not hold the meeting
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of the Board of Directors,8.,PRANITTRA AKKARAWINEK,N/A,7 / 7,100.00,1 / 1,Did not hold the meeting
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Audit Committee,1.,PRIN BHOLNIVAS,N/A,4 / 4,100.00,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Audit Committee,2.,MANIT NITIPRATEEP,N/A,4 / 4,100.00,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Audit Committee,3.,SAUWANEE THAIRUNGROJ,N/A,1 / 4,25.00,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Audit Committee,4.,MANIT NITIPRATEEP,08/04/2024,N/A,N/A,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Executive Committee,1.,KANOCKIT NAVASIRI,N/A,3 / 3,100.00,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Executive Committee,2.,TAWEE KULLERTPRASERT,N/A,3 / 3,100.00,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Executive Committee,3.,PRANITTRA AKKARAWINEK,N/A,3 / 3,100.00,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Executive Committee,4.,SUCHAT BOONBANJERDSRI,N/A,3 / 3,100.00,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Executive Committee,5.,KANOCKIT NAVASIRI,08/04/2024,N/A,N/A,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Executive Committee,6.,TAWEE KULLERTPRASERT,08/04/2024,N/A,N/A,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Risk Management Committee,1.,BOONYONG TANSAKUL,N/A,2 / 2,100.00,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Risk Management Committee,2.,KANOCKIT NAVASIRI,N/A,2 / 2,100.00,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Risk Management Committee,3.,TAWEE KULLERTPRASERT,N/A,2 / 2,100.00,,
KCC,2024,7,4,23/04/2025,Yes,Meeting Attendance of Risk Management Committee,4.,PRANITTRA AKKARAWINEK,N/A,2 / 2,100.00,,
KCC,2024,7,4,23/04/2025,Yes,"Meeting Attendance of Nomination, Remumeration and Corporate Grovernance Committee",1.,BOONYONG TANSAKUL,N/A,2 / 2,100.00,,
KCC,2024,7,4,23/04/2025,Yes,"Meeting Attendance of Nomination, Remumeration and Corporate Grovernance Committee",2.,SUCHAT BOONBANJERDSRI,N/A,2 / 2,100.00,,
KCC,2024,7,4,23/04/2025,Yes,"Meeting Attendance of Nomination, Remumeration and Corporate Grovernance Committee",3.,SAUWANEE THAIRUNGROJ,N/A,2 / 2,100.00,,
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,MANIT NITIPRATEEP,N/A,8 / 8,100.00,1 / 1,1 / 1
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,SUCHAT BOONBANJERDSRI,N/A,7 / 8,87.50,1 / 1,1 / 1
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,PRIN BHOLNIVAS,N/A,8 / 8,100.00,1 / 1,1 / 1
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,TAWEE KULLERTPRASERT,N/A,8 / 8,100.00,1 / 1,1 / 1
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,BOONYONG TANSAKUL,N/A,8 / 8,100.00,1 / 1,1 / 1
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,SAUWANEE THAIRUNGROJ,N/A,6 / 8,75.00,1 / 1,1 / 1
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,KANOCKIT NAVASIRI,N/A,8 / 8,100.00,1 / 1,1 / 1
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,8.,PRANITTRA AKKARAWINEK,N/A,8 / 8,100.00,1 / 1,1 / 1
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,PRIN BHOLNIVAS,N/A,4 / 4,100.00,,
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,MANIT NITIPRATEEP,N/A,4 / 4,100.00,,
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,SAUWANEE THAIRUNGROJ,N/A,4 / 4,100.00,,
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,KANOCKIT NAVASIRI,N/A,8 / 8,100.00,,
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,TAWEE KULLERTPRASERT,N/A,8 / 8,100.00,,
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,PRANITTRA AKKARAWINEK,N/A,8 / 8,100.00,,
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,SUCHAT BOONBANJERDSRI,N/A,7 / 8,87.50,,
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,1.,BOONYONG TANSAKUL,N/A,4 / 4,100.00,,
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,2.,KANOCKIT NAVASIRI,N/A,4 / 4,100.00,,
KCC,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management Committee,3.,TAWEE KULLERTPRASERT,N/A,4 / 4,100.00,,
