Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
NTF,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
NTF,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
NTF,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
NTF,2022,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
NTF,2022,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
NTF,2022,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
NTF,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
NTF,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
NTF,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
NTF,2024,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
NTF,2024,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
NTF,2024,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,SUMEK CHANTRASURIYARAT,N/A,7 / 7,100.00,1 / 1,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,WICHAI SIRAMANAKUL,N/A,7 / 7,100.00,1 / 1,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,ISARA PHUWAWICHIANCHAI,N/A,7 / 7,100.00,1 / 1,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,REATHAIRAT THONGJAREAN,N/A,7 / 7,100.00,1 / 1,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,APICHET PAIBOONPAN,N/A,7 / 7,100.00,0 / 1,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,RENU WILASRI,N/A,7 / 7,100.00,0 / 1,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,SUPHARAT SURADECHA,N/A,6 / 7,85.71,0 / 0,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,RENU WILASRI,N/A,5 / 5,100.00,,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,SUMEK CHANTRASURIYARAT,N/A,5 / 5,100.00,,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,3.,APICHET PAIBOONPAN,N/A,5 / 5,100.00,,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,1.,N/A,N/A,13 / 13,100.00,,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,2.,N/A,N/A,13 / 13,100.00,,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,3.,N/A,N/A,13 / 13,100.00,,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,4.,N/A,N/A,13 / 13,100.00,,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,5.,N/A,N/A,0 / 0,N/A,,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,6.,N/A,31/12/2025,11 / 11,100.00,,
NTF,2025,N/A,N/A,N/A,No,Meeting Attendance of Risk Management and Sustainable Development Committee,1.,N/A,N/A,0 / 0,N/A,,
NTF,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
NTF,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
NTF,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
