Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TERA,2021,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
TERA,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
TERA,2021,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
TERA,2022,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TERA,2022,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TERA,2022,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TERA,2023,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TERA,2023,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TERA,2023,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of the Board of Directors,1.,UDOMSAK ROJVIBOONCHAI,N/A,5 / 5,100.00,1 / 1,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of the Board of Directors,2.,SURASIT KIWPRASOPSAK,N/A,5 / 5,100.00,1 / 1,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of the Board of Directors,3.,MONTREE AROON,N/A,5 / 5,100.00,0 / 1,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of the Board of Directors,4.,YANAPOL RAKKASIKORN,N/A,5 / 5,100.00,0 / 1,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of the Board of Directors,5.,BOONCHAI TUNGWATTANAPORNCHAI,N/A,5 / 5,100.00,1 / 1,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of the Board of Directors,6.,VASU KLOMKLIANG,N/A,5 / 5,100.00,0 / 0,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of the Board of Directors,7.,KHANIST SRIVAJIRAPRABHA,N/A,3 / 5,60.00,0 / 0,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of the Board of Directors,8.,INTHIRA CHUAYSANIT,N/A,5 / 5,100.00,0 / 0,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of the Board of Directors,9.,TANARAT ROCHANAVIPHART,N/A,5 / 5,100.00,0 / 0,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of Audit Committee,1.,MONTREE AROON,N/A,5 / 5,100.00,,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of Audit Committee,2.,YANAPOL RAKKASIKORN,N/A,5 / 5,100.00,,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of Audit Committee,3.,UDOMSAK ROJVIBOONCHAI,N/A,4 / 5,80.00,,
TERA,2024,5,5,26/03/2024,No,Meeting Attendance of Executive Committee,1.,SURASIT KIWPRASOPSAK,N/A,5 / 5,100.00,,
